Name,Team_from,League_from,Team_to,Summer,Transfer_fee,Comb
Jan Vennegoor of Hesselink,FC Twente,Eredivisie,PSV Eindhoven,2001,8.4,Jan Vennegoor of Hesselink2001
Tomás Repka,Fiorentina,Serie A,West Ham,2001,8.25,Tomás Repka2001
Darko Kovacevic,Lazio,Serie A,Real Sociedad,2001,8.0,Darko Kovacevic2001
Boudewijn Zenden,FC Barcelona,LaLiga,Chelsea,2001,8.0,Boudewijn Zenden2001
Giuliano Giannichedda,Udinese Calcio,Serie A,Lazio,2001,7.5,Giuliano Giannichedda2001
Don Hutchison,Sunderland,Premier League,West Ham,2001,7.5,Don Hutchison2001
Jerzy Dudek,Feyenoord,Eredivisie,Liverpool,2001,7.4,Jerzy Dudek2001
Cosmin Contra,Alavés,LaLiga,AC Milan,2001,7.0,Cosmin Contra2001
Jesper Blomqvist,Man Utd,Premier League,Everton,2001,7.0,Jesper Blomqvist2001
Nelson Vivas,Arsenal,Premier League,Inter,2001,7.0,Nelson Vivas2001
Christian Ziege,Liverpool,Premier League,Spurs,2001,6.5,Christian Ziege2001
Alex,Parma,Serie A,Cruzeiro,2001,6.0,Alex2001
Luke Young,Spurs,Premier League,Charlton,2001,6.0,Luke Young2001
Rory Delap,Derby,Premier League,Southampton,2001,6.0,Rory Delap2001
Antonio Guayre,UD Las Palmas,LaLiga,Villarreal CF,2001,6.0,Antonio Guayre2001
Joey Gudjónsson,RKC Waalwijk,Eredivisie,Real Betis,2001,5.63,Joey Gudjónsson2001
Paulo Wanchope,West Ham,Premier League,Man City,2001,5.6,Paulo Wanchope2001
Didier Domi,Newcastle,Premier League,Paris SG,2001,5.58,Didier Domi2001
Jon Harley,Chelsea,Premier League,Fulham,2001,5.25,Jon Harley2001
Christian Panucci,Inter,Serie A,AS Roma,2001,5.0,Christian Panucci2001
Sander Westerveld,Liverpool,Premier League,Real Sociedad,2001,5.0,Sander Westerveld2001
David James,Aston Villa,Premier League,West Ham,2001,4.8,David James2001
Shota Arveladze,AFC Ajax,Eredivisie,Rangers,2001,4.5,Shota Arveladze2001
Marcus Bent,Blackburn,Premier League,Ipswich,2001,4.5,Marcus Bent2001
Patrick M'Boma,Parma,Serie A,Sunderland,2001,4.5,Patrick M'Boma2001
Matthew Jones,Leeds,Premier League,Leicester,2001,4.5,Matthew Jones2001
James Scowcroft,Ipswich,Premier League,Leicester,2001,4.5,James Scowcroft2001
Finidi George,RCD Mallorca,LaLiga,Ipswich,2001,4.2,Finidi George2001
Alberto Gilardino,Piacenza,Serie A,Hellas Verona,2001,3.87,Alberto Gilardino2001
Sylvinho,Arsenal,Premier League,Celta de Vigo,2001,3.8,Sylvinho2001
John de Jong,FC Utrecht,Eredivisie,PSV Eindhoven,2001,3.8,John de Jong2001
Ian Walker,Spurs,Premier League,Leicester,2001,3.75,Ian Walker2001
Gabriel Heinze,Real Valladolid,LaLiga,Paris SG,2001,3.5,Gabriel Heinze2001
Gustavo Poyet,Chelsea,Premier League,Spurs,2001,3.4,Gustavo Poyet2001
Christian Karembeu,Middlesbrough,Premier League,Olympiacos,2001,3.0,Christian Karembeu2001
Jason McAteer,Blackburn,Premier League,Sunderland,2001,3.0,Jason McAteer2001
Jonathan Greening,Man Utd,Premier League,Middlesbrough,2001,3.0,Jonathan Greening2001
Luigi Sala,AC Milan,Serie A,Atalanta,2001,2.5,Luigi Sala2001
Dennis Wise,Chelsea,Premier League,Leicester,2001,2.4,Dennis Wise2001
Luís Boa Morte,Southampton,Premier League,Fulham,2001,2.3,Luís Boa Morte2001
Mark Wilson,Man Utd,Premier League,Middlesbrough,2001,2.3,Mark Wilson2001
Joonas Kolkka,PSV Eindhoven,Eredivisie,Panathinaikos,2001,2.3,Joonas Kolkka2001
Nathan Blake,Blackburn,Premier League,Wolves,2001,2.25,Nathan Blake2001
Edwin Zoetebier,Vitesse,Eredivisie,Feyenoord,2001,2.25,Edwin Zoetebier2001
Mark Draper,Aston Villa,Premier League,Southampton,2001,2.25,Mark Draper2001
Danny Dichio,Sunderland,Premier League,West Brom,2001,2.24,Danny Dichio2001
Joachim Björklund,Venezia,Serie A,Sunderland,2001,2.23,Joachim Björklund2001
Pieter Collen,NEC Nijmegen,Eredivisie,Feyenoord,2001,2.2,Pieter Collen2001
Andrés Fleurquín,Sturm Graz,Bundesliga,Galatasaray,2001,2.0,Andrés Fleurquín2001
Johan Walem,Udinese Calcio,Serie A,Standard Liège,2001,2.0,Johan Walem2001
Rio Ferdinand,Leeds,Premier League,Man Utd,2002,46.0,Rio Ferdinand2002
Ronaldo,Inter,Serie A,Real Madrid,2002,45.0,Ronaldo2002
Hernán Crespo,Lazio,Serie A,Inter,2002,36.0,Hernán Crespo2002
Alessandro Nesta,Lazio,Serie A,AC Milan,2002,30.5,Alessandro Nesta2002
Fabio Cannavaro,Parma,Serie A,Inter,2002,23.0,Fabio Cannavaro2002
Clarence Seedorf,Inter,Serie A,AC Milan,2002,22.5,Clarence Seedorf2002
Francesco Coco,AC Milan,Serie A,Inter,2002,22.5,Francesco Coco2002
Matías Almeyda,Parma,Serie A,Inter,2002,22.1,Matías Almeyda2002
Marco Di Vaio,Parma,Serie A,Juventus,2002,21.0,Marco Di Vaio2002
Albert Luque,RCD Mallorca,LaLiga,Dep. La Coruña,2002,15.0,Albert Luque2002
Adriano,Inter,Serie A,Parma,2002,14.5,Adriano2002
Jonathan Woodgate,Leeds,Premier League,Newcastle,2002,13.5,Jonathan Woodgate2002
Javi Moreno,AC Milan,Serie A,Atlético Madrid,2002,13.0,Javi Moreno2002
Massimo Maccarone,FC Empoli,Serie A,Middlesbrough,2002,12.38,Massimo Maccarone2002
Martin Laursen,Parma,Serie A,AC Milan,2002,11.0,Martin Laursen2002
Robbie Keane,Leeds,Premier League,Spurs,2002,10.5,Robbie Keane2002
Bernardo Corradi,Inter,Serie A,Lazio,2002,10.0,Bernardo Corradi2002
Robbie Fowler,Leeds,Premier League,Man City,2002,9.8,Robbie Fowler2002
Mikel Arteta,FC Barcelona,LaLiga,Rangers,2002,7.9,Mikel Arteta2002
Mark Bresciano,FC Empoli,Serie A,Parma,2002,7.0,Mark Bresciano2002
George Boateng,Aston Villa,Premier League,Middlesbrough,2002,6.9,George Boateng2002
Juninho Paulista,Atlético Madrid,LaLiga,Middlesbrough,2002,6.9,Juninho Paulista2002
Émerson,Dep. La Coruña,LaLiga,Atlético Madrid,2002,6.5,Émerson2002
Richard Wright,Arsenal,Premier League,Everton,2002,5.5,Richard Wright2002
Michael Ricketts,Bolton,Premier League,Middlesbrough,2002,5.25,Michael Ricketts2002
Dario Simic,Inter,Serie A,AC Milan,2002,5.0,Dario Simic2002
Matteo Brighi,Juventus,Serie A,Parma,2002,5.0,Matteo Brighi2002
Stephen Appiah,Parma,Serie A,Brescia,2002,4.55,Stephen Appiah2002
Emiliano Bonazzoli,Parma,Serie A,Reggina,2002,4.5,Emiliano Bonazzoli2002
Stephen Wright,Liverpool,Premier League,Sunderland,2002,4.5,Stephen Wright2002
Nick Barmby,Liverpool,Premier League,Leeds,2002,4.5,Nick Barmby2002
Victor Sikora,Vitesse,Eredivisie,AFC Ajax,2002,4.35,Victor Sikora2002
Michael Lamey,RKC Waalwijk,Eredivisie,PSV Eindhoven,2002,4.3,Michael Lamey2002
Arjen Robben,FC Groningen,Eredivisie,PSV Eindhoven,2002,4.3,Arjen Robben2002
Bernardo Corradi,Chievo Verona,Serie A,Inter,2002,4.0,Bernardo Corradi2002
Mahamadou Diarra,Vitesse,Eredivisie,Olympique Lyon,2002,3.9,Mahamadou Diarra2002
Dwight Yorke,Man Utd,Premier League,Blackburn,2002,3.5,Dwight Yorke2002
Cosmin Contra,AC Milan,Serie A,Atlético Madrid,2002,3.0,Cosmin Contra2002
Marcus Allbäck,Heerenveen,Eredivisie,Aston Villa,2002,3.0,Marcus Allbäck2002
Grigoris Georgatos,Inter,Serie A,AEK Athens,2002,3.0,Grigoris Georgatos2002
Nuno Espírito Santo,Dep. La Coruña,LaLiga,FC Porto,2002,3.0,Nuno Espírito Santo2002
Remco van der Schaaf,Vitesse,Eredivisie,PSV Eindhoven,2002,3.0,Remco van der Schaaf2002
Richard Dutruel,FC Barcelona,LaLiga,Alavés,2002,2.9,Richard Dutruel2002
Samuele Dalla Bona,Chelsea,Premier League,AC Milan,2002,2.7,Samuele Dalla Bona2002
Federico Giunti,Brescia,Serie A,Besiktas,2002,2.5,Federico Giunti2002
Edgaras Jankauskas,Real Sociedad,LaLiga,FC Porto,2002,2.4,Edgaras Jankauskas2002
Ricardo,Real Valladolid,LaLiga,Man Utd,2002,2.23,Ricardo2002
Stefan Postma,De Graafschap,Eredivisie,Aston Villa,2002,2.23,Stefan Postma2002
Ümit Davala,AC Milan,Serie A,Inter,2002,2.0,Ümit Davala2002
Sixto Peralta,Inter,Serie A,Racing Club,2002,2.0,Sixto Peralta2002
Mazhar Abdelrahman,El Masry,Premier League,Monaco,2002,2.0,Mazhar Abdelrahman2002
Sigurd Rushfeldt,Racing,LaLiga,Austria Vienna,2002,1.8,Sigurd Rushfeldt2002
Winston Parks,Udinese Calcio,Serie A,Loko Moscow,2002,1.8,Winston Parks2002
Adrian Ilie,Valencia CF,LaLiga,Alavés,2002,1.5,Adrian Ilie2002
Andy Todd,Charlton,Premier League,Blackburn,2002,1.5,Andy Todd2002
Matthew Upson,Arsenal,Premier League,Birmingham,2002,1.4,Matthew Upson2002
Diego Crosa,Real Betis,LaLiga,Boca Juniors,2002,1.4,Diego Crosa2002
Stephen Clemence,Spurs,Premier League,Birmingham,2002,1.35,Stephen Clemence2002
Alexander Manninger,Arsenal,Premier League,Espanyol,2002,1.32,Alexander Manninger2002
Hakan Ünsal,Blackburn,Premier League,Galatasaray,2002,1.2,Hakan Ünsal2002
Andy Johnson,Birmingham,Premier League,Crystal Palace,2002,1.15,Andy Johnson2002
Mark Kinsella,Charlton,Premier League,Aston Villa,2002,1.15,Mark Kinsella2002
Mauricio Aros,Feyenoord,Eredivisie,M. Tel Aviv,2002,1.0,Mauricio Aros2002
Martijn Meerdink,De Graafschap,Eredivisie,AZ Alkmaar,2002,0.95,Martijn Meerdink2002
David Beckham,Man Utd,Premier League,Real Madrid,2003,37.5,David Beckham2003
Hernán Crespo,Inter,Serie A,Chelsea,2003,26.0,Hernán Crespo2003
Damien Duff,Blackburn,Premier League,Chelsea,2003,24.5,Damien Duff2003
Adriano,Parma,Serie A,Inter,2003,23.4,Adriano2003
Juan Sebastián Verón,Man Utd,Premier League,Chelsea,2003,21.5,Juan Sebastián Verón2003
Sébastien Frey,Inter,Serie A,Parma,2003,21.0,Sébastien Frey2003
Claude Makélélé,Real Madrid,LaLiga,Chelsea,2003,20.0,Claude Makélélé2003
José Antonio Reyes,Sevilla FC,LaLiga,Arsenal,2003,20.0,José Antonio Reyes2003
Roy Makaay,Dep. La Coruña,LaLiga,Bayern Munich ,2003,19.75,Roy Makaay2003
Adrian Mutu,Parma,Serie A,Chelsea,2003,19.0,Adrian Mutu2003
Cristian Chivu,AFC Ajax,Eredivisie,AS Roma,2003,18.0,Cristian Chivu2003
Louis Saha,Fulham,Premier League,Man Utd,2003,17.5,Louis Saha2003
Geovanni,FC Barcelona,LaLiga,Benfica,2003,15.0,Geovanni2003
Evanilson,Parma,Serie A,Bor. Dortmund,2003,15.0,Evanilson2003
Scott Parker,Charlton,Premier League,Chelsea,2003,14.0,Scott Parker2003
Andy van der Meyde,AFC Ajax,Eredivisie,Inter,2003,12.0,Andy van der Meyde2003
Wayne Bridge,Southampton,Premier League,Chelsea,2003,10.5,Wayne Bridge2003
Harry Kewell,Leeds,Premier League,Liverpool,2003,10.0,Harry Kewell2003
Juan Riquelme,FC Barcelona,LaLiga,Villarreal CF,2003,10.0,Juan Riquelme2003
Njitap Geremi,Real Madrid,LaLiga,Chelsea,2003,10.0,Njitap Geremi2003
Julio Cruz,Bologna,Serie A,Inter,2003,9.5,Julio Cruz2003
José Mari,AC Milan,Serie A,Villarreal CF,2003,9.0,José Mari2003
David Dunn,Blackburn,Premier League,Birmingham,2003,8.25,David Dunn2003
Stephen Appiah,Brescia,Serie A,Juventus,2003,8.0,Stephen Appiah2003
Nicola Legrottaglie,Chievo Verona,Serie A,Juventus,2003,7.0,Nicola Legrottaglie2003
Luca Toni,Brescia,Serie A,US Palermo,2003,6.0,Luca Toni2003
Mido,AFC Ajax,Eredivisie,Marseille,2003,6.0,Mido2003
Steve Finnan,Fulham,Premier League,Liverpool,2003,5.25,Steve Finnan2003
Olivier Dacourt,Leeds,Premier League,AS Roma,2003,5.25,Olivier Dacourt2003
Albert Riera,RCD Mallorca,LaLiga,G. Bordeaux,2003,5.0,Albert Riera2003
Ariel Ibagaza,RCD Mallorca,LaLiga,Atlético Madrid,2003,5.0,Ariel Ibagaza2003
Amauri,FC Empoli,Serie A,Chievo Verona,2003,4.5,Amauri2003
Dejan Stankovic,Lazio,Serie A,Inter,2003,4.0,Dejan Stankovic2003
Bonaventure Kalou,Feyenoord,Eredivisie,AJ Auxerre,2003,4.0,Bonaventure Kalou2003
Benni McCarthy,Celta de Vigo,LaLiga,FC Porto,2003,3.5,Benni McCarthy2003
Collins John,FC Twente,Eredivisie,Fulham,2003,3.5,Collins John2003
Jordi Hoogstrate,FC Groningen,Eredivisie,PSV Eindhoven,2003,3.2,Jordi Hoogstrate2003
Kiki Musampa,Málaga CF,LaLiga,Atlético Madrid,2003,3.0,Kiki Musampa2003
Brett Emerton,Feyenoord,Eredivisie,Blackburn,2003,3.0,Brett Emerton2003
Carl Cort,Newcastle,Premier League,Wolves,2003,3.0,Carl Cort2003
Andrea Gasbarroni,Juventus,Serie A,US Palermo,2003,2.7,Andrea Gasbarroni2003
Kily González,Valencia CF,LaLiga,Inter,2003,2.5,Kily González2003
Dejan Stefanovic,Vitesse,Eredivisie,Portsmouth,2003,2.5,Dejan Stefanovic2003
Zisis Vryzas,Perugia,Serie A,Fiorentina,2003,2.5,Zisis Vryzas2003
Maik Taylor,Fulham,Premier League,Birmingham,2003,2.25,Maik Taylor2003
Luca Antonini,AC Milan,Serie A,Sampdoria,2003,2.0,Luca Antonini2003
Nolberto Solano,Newcastle,Premier League,Aston Villa,2003,2.0,Nolberto Solano2003
Vratislav Gresko,Parma,Serie A,Blackburn,2003,1.8,Vratislav Gresko2003
Valdo,Real Madrid,LaLiga,CA Osasuna,2003,1.8,Valdo2003
Emiliano Moretti,Juventus,Serie A,Parma,2003,1.8,Emiliano Moretti2003
Martin Taylor,Blackburn,Premier League,Birmingham,2003,1.6,Martin Taylor2003
Hossam Ghaly,Ahly,Premier League,Feyenoord,2003,1.5,Hossam Ghaly2003
Matías Vuoso,Man City,Premier League,Santos Laguna,2003,1.5,Matías Vuoso2003
Paul Bosvelt,Feyenoord,Eredivisie,Man City,2003,1.5,Paul Bosvelt2003
Geoff Horsfield,Birmingham,Premier League,Wigan,2003,1.5,Geoff Horsfield2003
Darren Huckerby,Man City,Premier League,Norwich,2003,1.25,Darren Huckerby2003
Niclas Jensen,Man City,Premier League,Bor. Dortmund,2003,1.25,Niclas Jensen2003
Jonathan Blondel,Spurs,Premier League,Club Brugge,2003,1.2,Jonathan Blondel2003
Roberto Muzzi,Udinese Calcio,Serie A,Lazio,2003,1.1,Roberto Muzzi2003
Dirk Kuyt,FC Utrecht,Eredivisie,Feyenoord,2003,1.0,Dirk Kuyt2003
Moritz Volz,Arsenal,Premier League,Fulham,2003,1.0,Moritz Volz2003
Pierre van Hooijdonk,Feyenoord,Eredivisie,Fenerbahce,2003,1.0,Pierre van Hooijdonk2003
Wayne Rooney,Everton,Premier League,Man Utd,2004,37.0,Wayne Rooney2004
Émerson,AS Roma,Serie A,Juventus,2004,28.0,Émerson2004
Samuel Eto'o,RCD Mallorca,LaLiga,FC Barcelona,2004,27.0,Samuel Eto'o2004
Wálter Samuel,AS Roma,Serie A,Real Madrid,2004,25.0,Wálter Samuel2004
Jonathan Woodgate,Newcastle,Premier League,Real Madrid,2004,18.3,Jonathan Woodgate2004
Arjen Robben,PSV Eindhoven,Eredivisie,Chelsea,2004,18.0,Arjen Robben2004
Stefano Fiore,Lazio,Serie A,Valencia CF,2004,17.0,Stefano Fiore2004
Xabi Alonso,Real Sociedad,LaLiga,Liverpool,2004,16.0,Xabi Alonso2004
Matteo Brighi,Juventus,Serie A,AS Roma,2004,16.0,Matteo Brighi2004
Zlatan Ibrahimovic,AFC Ajax,Eredivisie,Juventus,2004,16.0,Zlatan Ibrahimovic2004
Valeri Bojinov,Lecce,Serie A,Fiorentina,2004,14.0,Valeri Bojinov2004
Matuzalém,Brescia,Serie A,Shakhtar D.,2004,14.0,Matuzalém2004
Michael Owen,Liverpool,Premier League,Real Madrid,2004,12.0,Michael Owen2004
Matteo Brighi,Parma,Serie A,Juventus,2004,11.5,Matteo Brighi2004
Marco Di Vaio,Juventus,Serie A,Valencia CF,2004,11.0,Marco Di Vaio2004
Nicolas Anelka,Man City,Premier League,Fenerbahce,2004,10.7,Nicolas Anelka2004
Jaap Stam,Lazio,Serie A,AC Milan,2004,10.5,Jaap Stam2004
Fabio Cannavaro,Inter,Serie A,Juventus,2004,10.0,Fabio Cannavaro2004
Javier Chevantón,Lecce,Serie A,Monaco,2004,10.0,Javier Chevantón2004
Emile Heskey,Liverpool,Premier League,Birmingham,2004,9.32,Emile Heskey2004
Fernando Morientes,Real Madrid,LaLiga,Liverpool,2004,9.25,Fernando Morientes2004
James Beattie,Southampton,Premier League,Everton,2004,9.0,James Beattie2004
Luis García,FC Barcelona,LaLiga,Liverpool,2004,8.75,Luis García2004
Goran Pandev,Inter,Serie A,Lazio,2004,8.0,Goran Pandev2004
Mateja Kezman,PSV Eindhoven,Eredivisie,Chelsea,2004,7.5,Mateja Kezman2004
Hélder Postiga,Spurs,Premier League,FC Porto,2004,7.5,Hélder Postiga2004
Barry Ferguson,Blackburn,Premier League,Rangers,2004,7.25,Barry Ferguson2004
Simone Perrotta,Chievo Verona,Serie A,AS Roma,2004,7.2,Simone Perrotta2004
Fabrizio Miccoli,Juventus,Serie A,Fiorentina,2004,7.0,Fabrizio Miccoli2004
Matteo Ferrari,Parma,Serie A,AS Roma,2004,7.0,Matteo Ferrari2004
Giampaolo Pazzini,Atalanta,Serie A,Fiorentina,2004,6.5,Giampaolo Pazzini2004
Giorgio Chiellini,AS Livorno,Serie A,Fiorentina,2004,6.5,Giorgio Chiellini2004
Juliano Belletti,Villarreal CF,LaLiga,FC Barcelona,2004,6.0,Juliano Belletti2004
Ricardo Quaresma,FC Barcelona,LaLiga,FC Porto,2004,6.0,Ricardo Quaresma2004
Francisco Lima,AS Roma,Serie A,Loko Moscow,2004,5.7,Francisco Lima2004
Dario Dainelli,Brescia,Serie A,Fiorentina,2004,5.5,Dario Dainelli2004
Sean Davis,Fulham,Premier League,Spurs,2004,5.2,Sean Davis2004
Fabricio Coloccini,AC Milan,Serie A,Dep. La Coruña,2004,5.0,Fabricio Coloccini2004
Mohamed Kallon,Inter,Serie A,Monaco,2004,5.0,Mohamed Kallon2004
Simone Barone,Parma,Serie A,US Palermo,2004,5.0,Simone Barone2004
Robbie Savage,Birmingham,Premier League,Blackburn,2004,4.5,Robbie Savage2004
Robin van Persie,Feyenoord,Eredivisie,Arsenal,2004,4.5,Robin van Persie2004
Martin Laursen,AC Milan,Serie A,Aston Villa,2004,4.0,Martin Laursen2004
Ricardo Oliveira,Valencia CF,LaLiga,Real Betis,2004,4.0,Ricardo Oliveira2004
Francis Jeffers,Arsenal,Premier League,Charlton,2004,3.9,Francis Jeffers2004
Nicky Butt,Man Utd,Premier League,Newcastle,2004,3.75,Nicky Butt2004
Thomas Buffel,Feyenoord,Eredivisie,Rangers,2004,3.5,Thomas Buffel2004
John Carew,Valencia CF,LaLiga,Besiktas,2004,3.5,John Carew2004
Dennis Rommedahl,PSV Eindhoven,Eredivisie,Charlton,2004,3.5,Dennis Rommedahl2004
Thomas Gravesen,Everton,Premier League,Real Madrid,2004,3.4,Thomas Gravesen2004
Jesper Grönkjaer,Chelsea,Premier League,Birmingham,2004,3.3,Jesper Grönkjaer2004
Martin Jiranek,Reggina,Serie A,Spartak Moscow,2004,3.3,Martin Jiranek2004
Danny Murphy,Liverpool,Premier League,Charlton,2004,3.25,Danny Murphy2004
Cristian Silvestri,Lecce,Serie A,Catania,2004,3.2,Cristian Silvestri2004
Diego Forlán,Man Utd,Premier League,Villarreal CF,2004,3.2,Diego Forlán2004
Nigel Quashie,Portsmouth,Premier League,Southampton,2004,3.15,Nigel Quashie2004
Amdy Fayé,Portsmouth,Premier League,Newcastle,2004,3.0,Amdy Fayé2004
Pablo Ibáñez,Albacete,LaLiga,Atlético Madrid,2004,3.0,Pablo Ibáñez2004
Stephen Carr,Spurs,Premier League,Newcastle,2004,3.0,Stephen Carr2004
Tomasz Radzinski,Everton,Premier League,Fulham,2004,3.0,Tomasz Radzinski2004
Josemi,Málaga CF,LaLiga,Liverpool,2004,3.0,Josemi2004
Jelle Van Damme,AFC Ajax,Eredivisie,Southampton,2004,3.0,Jelle Van Damme2004
Peter Crouch,Aston Villa,Premier League,Southampton,2004,3.0,Peter Crouch2004
Eric Djemba-Djemba,Man Utd,Premier League,Aston Villa,2004,2.54,Eric Djemba-Djemba2004
Fabrizio Miccoli,Fiorentina,Serie A,Juventus,2004,2.4,Fabrizio Miccoli2004
Lomana LuaLua,Newcastle,Premier League,Portsmouth,2004,2.25,Lomana LuaLua2004
Fitz Hall,Southampton,Premier League,Crystal Palace,2004,2.25,Fitz Hall2004
Sergio Almirón,Udinese Calcio,Serie A,FC Empoli,2004,2.2,Sergio Almirón2004
Jesper Grönkjaer,Birmingham,Premier League,Atlético Madrid,2004,2.0,Jesper Grönkjaer2004
Sonny Anderson,Villarreal CF,LaLiga,Al Rayyan,2004,2.0,Sonny Anderson2004
Chong-gug Song,Feyenoord,Eredivisie,Suwon Bluewings,2004,2.0,Chong-gug Song2004
Kevin Hofland,PSV Eindhoven,Eredivisie,VfL Wolfsburg,2004,2.0,Kevin Hofland2004
Erik Edman,Heerenveen,Eredivisie,Spurs,2004,2.0,Erik Edman2004
Davide Carrus,Fiorentina,Serie A,Bari,2004,2.0,Davide Carrus2004
Claus Jensen,Charlton,Premier League,Fulham,2004,1.9,Claus Jensen2004
Jonathan Greening,Middlesbrough,Premier League,West Brom,2004,1.75,Jonathan Greening2004
Tobias Linderoth,Everton,Premier League,FC Copenhagen,2004,1.6,Tobias Linderoth2004
Khalid Boulahrouz,RKC Waalwijk,Eredivisie,Hamburger SV,2004,1.5,Khalid Boulahrouz2004
Jérémie Bréchet,Inter,Serie A,Real Sociedad,2004,1.5,Jérémie Bréchet2004
Shaun Wright-Phillips,Man City,Premier League,Chelsea,2005,31.5,Shaun Wright-Phillips2005
Sergio Ramos,Sevilla FC,LaLiga,Real Madrid,2005,27.0,Sergio Ramos2005
Michael Owen,Real Madrid,LaLiga,Newcastle,2005,25.0,Michael Owen2005
Alberto Gilardino,Parma,Serie A,AC Milan,2005,25.0,Alberto Gilardino2005
Patrick Vieira,Arsenal,Premier League,Juventus,2005,20.0,Patrick Vieira2005
Júlio Baptista,Sevilla FC,LaLiga,Real Madrid,2005,20.0,Júlio Baptista2005
Albert Luque,Dep. La Coruña,LaLiga,Newcastle,2005,20.0,Albert Luque2005
Wálter Samuel,Real Madrid,LaLiga,Inter,2005,16.0,Wálter Samuel2005
Jermaine Jenas,Newcastle,Premier League,Spurs,2005,15.0,Jermaine Jenas2005
Asier del Horno,Athletic Bilbao,LaLiga,Chelsea,2005,12.0,Asier del Horno2005
David Pizarro,Udinese Calcio,Serie A,Inter,2005,12.0,David Pizarro2005
David Villa,Real Zaragoza,LaLiga,Valencia CF,2005,12.0,David Villa2005
Mohamed Sissoko,Valencia CF,LaLiga,Liverpool,2005,12.0,Mohamed Sissoko2005
Tiago,Chelsea,Premier League,Olympique Lyon,2005,10.1,Tiago2005
Luca Toni,US Palermo,Serie A,Fiorentina,2005,10.0,Luca Toni2005
Pepe Reina,Villarreal CF,LaLiga,Liverpool,2005,9.8,Pepe Reina2005
Yakubu Aiyegbeni,Portsmouth,Premier League,Middlesbrough,2005,9.75,Yakubu Aiyegbeni2005
Mateja Kezman,Chelsea,Premier League,Atlético Madrid,2005,9.0,Mateja Kezman2005
Andy van der Meyde,Inter,Serie A,Everton,2005,9.0,Andy van der Meyde2005
Scott Parker,Chelsea,Premier League,Newcastle,2005,9.0,Scott Parker2005
Klaas-Jan Huntelaar,Heerenveen,Eredivisie,AFC Ajax,2005,9.0,Klaas-Jan Huntelaar2005
Milan Baros,Liverpool,Premier League,Aston Villa,2005,8.84,Milan Baros2005
Marek Jankulovski,Udinese Calcio,Serie A,AC Milan,2005,8.5,Marek Jankulovski2005
Georgios Samaras,Heerenveen,Eredivisie,Man City,2005,8.5,Georgios Samaras2005
Stephen Appiah,Juventus,Serie A,Fenerbahce,2005,8.0,Stephen Appiah2005
Giorgio Chiellini,Fiorentina,Serie A,Juventus,2005,7.7,Giorgio Chiellini2005
Jon Dahl Tomasson,AC Milan,Serie A,VfB Stuttgart,2005,7.5,Jon Dahl Tomasson2005
Craig Bellamy,Newcastle,Premier League,Blackburn,2005,7.5,Craig Bellamy2005
Domenico Morfeo,Inter,Serie A,Parma,2005,7.5,Domenico Morfeo2005
Ji-seong Park,PSV Eindhoven,Eredivisie,Man Utd,2005,7.3,Ji-seong Park2005
Per Kröldrup,Udinese Calcio,Serie A,Everton,2005,6.8,Per Kröldrup2005
Frédéric Kanouté,Spurs,Premier League,Sevilla FC,2005,6.5,Frédéric Kanouté2005
Jan Kromkamp,AZ Alkmaar,Eredivisie,Villarreal CF,2005,6.0,Jan Kromkamp2005
Antonio Cassano,AS Roma,Serie A,Real Madrid,2005,5.5,Antonio Cassano2005
Phil Neville,Man Utd,Premier League,Everton,2005,5.3,Phil Neville2005
Simon Davies,Spurs,Premier League,Everton,2005,5.25,Simon Davies2005
Rafael van der Vaart,AFC Ajax,Eredivisie,Hamburger SV,2005,5.1,Rafael van der Vaart2005
Emre Belözoglu,Inter,Serie A,Newcastle,2005,5.0,Emre Belözoglu2005
Maxi Rodríguez,Espanyol,LaLiga,Atlético Madrid,2005,5.0,Maxi Rodríguez2005
Barreto,Treviso,Serie A,Udinese Calcio,2005,5.0,Barreto2005
El-Hadji Diouf,Liverpool,Premier League,Bolton,2005,4.8,El-Hadji Diouf2005
Wilfred Bouma,PSV Eindhoven,Eredivisie,Aston Villa,2005,4.7,Wilfred Bouma2005
Mikael Forssell,Chelsea,Premier League,Birmingham,2005,4.5,Mikael Forssell2005
Mozart,Reggina,Serie A,Spartak Moscow,2005,4.5,Mozart2005
Nathan Ellington,Wigan,Premier League,West Brom,2005,4.5,Nathan Ellington2005
Shunsuke Nakamura,Reggina,Serie A,Celtic,2005,4.2,Shunsuke Nakamura2005
Emiliano Bonazzoli,Reggina,Serie A,Parma,2005,4.15,Emiliano Bonazzoli2005
Robert Earnshaw,West Brom,Premier League,Norwich,2005,4.13,Robert Earnshaw2005
Per Kröldrup,Everton,Premier League,Fiorentina,2005,4.0,Per Kröldrup2005
Edwin van der Sar,Fulham,Premier League,Man Utd,2005,4.0,Edwin van der Sar2005
Pablo García,CA Osasuna,LaLiga,Real Madrid,2005,4.0,Pablo García2005
Andreas Ivanschitz,Rapid Vienna,Bundesliga,RB Salzburg,2005,4.0,Andreas Ivanschitz2005
Yossi Benayoun,Racing,LaLiga,West Ham,2005,3.75,Yossi Benayoun2005
Darius Vassell,Aston Villa,Premier League,Man City,2005,3.6,Darius Vassell2005
Danny Murphy,Charlton,Premier League,Spurs,2005,3.21,Danny Murphy2005
