Name,Team_from,League_from,Team_to,Season,Transfer_fee
Luciano,Bologna,Serie A,Chievo Verona,2000-2001,2.33
David Hopkin,Bradford City,Premier League,Crystal Palace,2000-2001,2.25
Paul Robinson,Newcastle,Premier League,MK Dons,2000-2001,2.25
John Curtis,Man Utd,Premier League,Blackburn,2000-2001,2.25
Francesc Arnau,FC Barcelona,LaLiga,Málaga CF,2000-2001,2.1
Chris Makin,Sunderland,Premier League,Ipswich,2000-2001,2.1
Frank Verlaat,AFC Ajax,Eredivisie,Werder Bremen,2000-2001,2.1
David Healy,Man Utd,Premier League,Preston NE,2000-2001,2.0
Espen Baardsen,Spurs,Premier League,Watford,2000-2001,2.0
Slavisa Jokanovic,Dep. La Coruña,LaLiga,Chelsea,2000-2001,1.9
José Amavisca,Racing,LaLiga,Dep. La Coruña,2000-2001,1.9
Robin Nelisse,Feyenoord,Eredivisie,AZ Alkmaar,2000-2001,1.8
Zinédine Zidane,Juventus,Serie A,Real Madrid,2001-2002,77.5
Gianluigi Buffon,Parma,Serie A,Juventus,2001-2002,52.88
Gaizka Mendieta,Valencia CF,LaLiga,Lazio,2001-2002,48.0
Juan Sebastián Verón,Lazio,Serie A,Man Utd,2001-2002,42.6
Rui Costa,Fiorentina,Serie A,AC Milan,2001-2002,42.0
Lilian Thuram,Parma,Serie A,Juventus,2001-2002,41.5
Pavel Nedved,Lazio,Serie A,Juventus,2001-2002,38.7
Filippo Inzaghi,Juventus,Serie A,AC Milan,2001-2002,37.0
Ruud van Nistelrooy,PSV Eindhoven,Eredivisie,Man Utd,2001-2002,28.5
Hidetoshi Nakata,AS Roma,Serie A,Parma,2001-2002,28.4
Francesco Toldo,Fiorentina,Serie A,Inter,2001-2002,26.5
Jaap Stam,Man Utd,Premier League,Lazio,2001-2002,25.75
Márcio Amoroso,Parma,Serie A,Bor. Dortmund,2001-2002,25.5
Stefano Fiore,Udinese Calcio,Serie A,Lazio,2001-2002,25.0
Marcelo Salas,Lazio,Serie A,Juventus,2001-2002,25.0
Andrea Pirlo,Inter,Serie A,AC Milan,2001-2002,18.0
Sérgio Conceição,Parma,Serie A,Inter,2001-2002,18.0
Robbie Keane,Inter,Serie A,Leeds,2001-2002,18.0
Sergio,Espanyol,LaLiga,Dep. La Coruña,2001-2002,17.9
Robbie Fowler,Liverpool,Premier League,Leeds,2001-2002,16.8
Frank Lampard,West Ham,Premier League,Chelsea,2001-2002,16.0
Javi Moreno,Alavés,LaLiga,AC Milan,2001-2002,16.0
Cristian Zenoni,AC Milan,Serie A,Juventus,2001-2002,15.5
Darko Kovacevic,Juventus,Serie A,Lazio,2001-2002,15.0
Massimo Donati,Atalanta,Serie A,AC Milan,2001-2002,15.0
Ivan Pelizzoli,Atalanta,Serie A,AS Roma,2001-2002,14.0
Andy Cole,Man Utd,Premier League,Blackburn,2001-2002,12.2
Dean Richards,Southampton,Premier League,Spurs,2001-2002,12.15
Simão,FC Barcelona,LaLiga,Benfica,2001-2002,12.0
Seth Johnson,Derby,Premier League,Leeds,2001-2002,11.5
Emmanuel Petit,FC Barcelona,LaLiga,Chelsea,2001-2002,11.5
Cristiano Zanetti,AS Roma,Serie A,Inter,2001-2002,11.0
Mario Turdó,Celta de Vigo,LaLiga,Stade Rennais,2001-2002,10.82
Marco Materazzi,Perugia,Serie A,Inter,2001-2002,10.5
Edwin van der Sar,Juventus,Serie A,Fulham,2001-2002,10.3
Gareth Southgate,Aston Villa,Premier League,Middlesbrough,2001-2002,9.75
Michael Ball,Everton,Premier League,Rangers,2001-2002,9.75
Martin Laursen,Hellas Verona,Serie A,Parma,2001-2002,9.3
Richard Wright,Ipswich,Premier League,Arsenal,2001-2002,9.0
Flavio Roma,Piacenza,Serie A,Monaco,2001-2002,8.5
Jan Vennegoor of Hesselink,FC Twente,Eredivisie,PSV Eindhoven,2001-2002,8.4
Tomás Repka,Fiorentina,Serie A,West Ham,2001-2002,8.25
Darko Kovacevic,Lazio,Serie A,Real Sociedad,2001-2002,8.0
Boudewijn Zenden,FC Barcelona,LaLiga,Chelsea,2001-2002,8.0
Giuliano Giannichedda,Udinese Calcio,Serie A,Lazio,2001-2002,7.5
Don Hutchison,Sunderland,Premier League,West Ham,2001-2002,7.5
Jerzy Dudek,Feyenoord,Eredivisie,Liverpool,2001-2002,7.4
Cosmin Contra,Alavés,LaLiga,AC Milan,2001-2002,7.0
Jesper Blomqvist,Man Utd,Premier League,Everton,2001-2002,7.0
Nelson Vivas,Arsenal,Premier League,Inter,2001-2002,7.0
Christian Ziege,Liverpool,Premier League,Spurs,2001-2002,6.5
Alex,Parma,Serie A,Cruzeiro,2001-2002,6.0
Luke Young,Spurs,Premier League,Charlton,2001-2002,6.0
Rory Delap,Derby,Premier League,Southampton,2001-2002,6.0
Antonio Guayre,UD Las Palmas,LaLiga,Villarreal CF,2001-2002,6.0
Joey Gudjónsson,RKC Waalwijk,Eredivisie,Real Betis,2001-2002,5.63
Paulo Wanchope,West Ham,Premier League,Man City,2001-2002,5.6
Didier Domi,Newcastle,Premier League,Paris SG,2001-2002,5.58
Jon Harley,Chelsea,Premier League,Fulham,2001-2002,5.25
Christian Panucci,Inter,Serie A,AS Roma,2001-2002,5.0
Sander Westerveld,Liverpool,Premier League,Real Sociedad,2001-2002,5.0
David James,Aston Villa,Premier League,West Ham,2001-2002,4.8
Shota Arveladze,AFC Ajax,Eredivisie,Rangers,2001-2002,4.5
Marcus Bent,Blackburn,Premier League,Ipswich,2001-2002,4.5
Patrick M'Boma,Parma,Serie A,Sunderland,2001-2002,4.5
Matthew Jones,Leeds,Premier League,Leicester,2001-2002,4.5
James Scowcroft,Ipswich,Premier League,Leicester,2001-2002,4.5
Finidi George,RCD Mallorca,LaLiga,Ipswich,2001-2002,4.2
Alberto Gilardino,Piacenza,Serie A,Hellas Verona,2001-2002,3.87
Sylvinho,Arsenal,Premier League,Celta de Vigo,2001-2002,3.8
John de Jong,FC Utrecht,Eredivisie,PSV Eindhoven,2001-2002,3.8
Ian Walker,Spurs,Premier League,Leicester,2001-2002,3.75
Gabriel Heinze,Real Valladolid,LaLiga,Paris SG,2001-2002,3.5
Gustavo Poyet,Chelsea,Premier League,Spurs,2001-2002,3.4
Christian Karembeu,Middlesbrough,Premier League,Olympiacos,2001-2002,3.0
Jason McAteer,Blackburn,Premier League,Sunderland,2001-2002,3.0
Jonathan Greening,Man Utd,Premier League,Middlesbrough,2001-2002,3.0
Luigi Sala,AC Milan,Serie A,Atalanta,2001-2002,2.5
Dennis Wise,Chelsea,Premier League,Leicester,2001-2002,2.4
Luís Boa Morte,Southampton,Premier League,Fulham,2001-2002,2.3
Mark Wilson,Man Utd,Premier League,Middlesbrough,2001-2002,2.3
Joonas Kolkka,PSV Eindhoven,Eredivisie,Panathinaikos,2001-2002,2.3
Nathan Blake,Blackburn,Premier League,Wolves,2001-2002,2.25
Edwin Zoetebier,Vitesse,Eredivisie,Feyenoord,2001-2002,2.25
Mark Draper,Aston Villa,Premier League,Southampton,2001-2002,2.25
Danny Dichio,Sunderland,Premier League,West Brom,2001-2002,2.24
Joachim Björklund,Venezia,Serie A,Sunderland,2001-2002,2.23
Pieter Collen,NEC Nijmegen,Eredivisie,Feyenoord,2001-2002,2.2
Andrés Fleurquín,Sturm Graz,Bundesliga,Galatasaray,2001-2002,2.0
Johan Walem,Udinese Calcio,Serie A,Standard Liège,2001-2002,2.0
Rio Ferdinand,Leeds,Premier League,Man Utd,2002-2003,46.0
Ronaldo,Inter,Serie A,Real Madrid,2002-2003,45.0
Hernán Crespo,Lazio,Serie A,Inter,2002-2003,36.0
Alessandro Nesta,Lazio,Serie A,AC Milan,2002-2003,30.5
Fabio Cannavaro,Parma,Serie A,Inter,2002-2003,23.0
Clarence Seedorf,Inter,Serie A,AC Milan,2002-2003,22.5
Francesco Coco,AC Milan,Serie A,Inter,2002-2003,22.5
Matías Almeyda,Parma,Serie A,Inter,2002-2003,22.1
Marco Di Vaio,Parma,Serie A,Juventus,2002-2003,21.0
Albert Luque,RCD Mallorca,LaLiga,Dep. La Coruña,2002-2003,15.0
Adriano,Inter,Serie A,Parma,2002-2003,14.5
Jonathan Woodgate,Leeds,Premier League,Newcastle,2002-2003,13.5
Javi Moreno,AC Milan,Serie A,Atlético Madrid,2002-2003,13.0
Massimo Maccarone,FC Empoli,Serie A,Middlesbrough,2002-2003,12.38
Martin Laursen,Parma,Serie A,AC Milan,2002-2003,11.0
Robbie Keane,Leeds,Premier League,Spurs,2002-2003,10.5
Bernardo Corradi,Inter,Serie A,Lazio,2002-2003,10.0
Robbie Fowler,Leeds,Premier League,Man City,2002-2003,9.8
Mikel Arteta,FC Barcelona,LaLiga,Rangers,2002-2003,7.9
Mark Bresciano,FC Empoli,Serie A,Parma,2002-2003,7.0
George Boateng,Aston Villa,Premier League,Middlesbrough,2002-2003,6.9
Juninho Paulista,Atlético Madrid,LaLiga,Middlesbrough,2002-2003,6.9
Émerson,Dep. La Coruña,LaLiga,Atlético Madrid,2002-2003,6.5
Richard Wright,Arsenal,Premier League,Everton,2002-2003,5.5
Michael Ricketts,Bolton,Premier League,Middlesbrough,2002-2003,5.25
Dario Simic,Inter,Serie A,AC Milan,2002-2003,5.0
Matteo Brighi,Juventus,Serie A,Parma,2002-2003,5.0
Stephen Appiah,Parma,Serie A,Brescia,2002-2003,4.55
Emiliano Bonazzoli,Parma,Serie A,Reggina,2002-2003,4.5
Stephen Wright,Liverpool,Premier League,Sunderland,2002-2003,4.5
Nick Barmby,Liverpool,Premier League,Leeds,2002-2003,4.5
Victor Sikora,Vitesse,Eredivisie,AFC Ajax,2002-2003,4.35
Michael Lamey,RKC Waalwijk,Eredivisie,PSV Eindhoven,2002-2003,4.3
Arjen Robben,FC Groningen,Eredivisie,PSV Eindhoven,2002-2003,4.3
Bernardo Corradi,Chievo Verona,Serie A,Inter,2002-2003,4.0
Mahamadou Diarra,Vitesse,Eredivisie,Olympique Lyon,2002-2003,3.9
Dwight Yorke,Man Utd,Premier League,Blackburn,2002-2003,3.5
Cosmin Contra,AC Milan,Serie A,Atlético Madrid,2002-2003,3.0
Marcus Allbäck,Heerenveen,Eredivisie,Aston Villa,2002-2003,3.0
Grigoris Georgatos,Inter,Serie A,AEK Athens,2002-2003,3.0
Nuno Espírito Santo,Dep. La Coruña,LaLiga,FC Porto,2002-2003,3.0
Remco van der Schaaf,Vitesse,Eredivisie,PSV Eindhoven,2002-2003,3.0
Richard Dutruel,FC Barcelona,LaLiga,Alavés,2002-2003,2.9
Samuele Dalla Bona,Chelsea,Premier League,AC Milan,2002-2003,2.7
Federico Giunti,Brescia,Serie A,Besiktas,2002-2003,2.5
Edgaras Jankauskas,Real Sociedad,LaLiga,FC Porto,2002-2003,2.4
Ricardo,Real Valladolid,LaLiga,Man Utd,2002-2003,2.23
Stefan Postma,De Graafschap,Eredivisie,Aston Villa,2002-2003,2.23
Ümit Davala,AC Milan,Serie A,Inter,2002-2003,2.0
Sixto Peralta,Inter,Serie A,Racing Club,2002-2003,2.0
Mazhar Abdelrahman,El Masry,Premier League,Monaco,2002-2003,2.0
Sigurd Rushfeldt,Racing,LaLiga,Austria Vienna,2002-2003,1.8
Winston Parks,Udinese Calcio,Serie A,Loko Moscow,2002-2003,1.8
Adrian Ilie,Valencia CF,LaLiga,Alavés,2002-2003,1.5
Andy Todd,Charlton,Premier League,Blackburn,2002-2003,1.5
Matthew Upson,Arsenal,Premier League,Birmingham,2002-2003,1.4
Diego Crosa,Real Betis,LaLiga,Boca Juniors,2002-2003,1.4
Stephen Clemence,Spurs,Premier League,Birmingham,2002-2003,1.35
Alexander Manninger,Arsenal,Premier League,Espanyol,2002-2003,1.32
Hakan Ünsal,Blackburn,Premier League,Galatasaray,2002-2003,1.2
Andy Johnson,Birmingham,Premier League,Crystal Palace,2002-2003,1.15
Mark Kinsella,Charlton,Premier League,Aston Villa,2002-2003,1.15
Mauricio Aros,Feyenoord,Eredivisie,M. Tel Aviv,2002-2003,1.0
Martijn Meerdink,De Graafschap,Eredivisie,AZ Alkmaar,2002-2003,0.95
David Beckham,Man Utd,Premier League,Real Madrid,2003-2004,37.5
Hernán Crespo,Inter,Serie A,Chelsea,2003-2004,26.0
Damien Duff,Blackburn,Premier League,Chelsea,2003-2004,24.5
Adriano,Parma,Serie A,Inter,2003-2004,23.4
Juan Sebastián Verón,Man Utd,Premier League,Chelsea,2003-2004,21.5
Sébastien Frey,Inter,Serie A,Parma,2003-2004,21.0
Claude Makélélé,Real Madrid,LaLiga,Chelsea,2003-2004,20.0
José Antonio Reyes,Sevilla FC,LaLiga,Arsenal,2003-2004,20.0
Roy Makaay,Dep. La Coruña,LaLiga,Bayern Munich ,2003-2004,19.75
Adrian Mutu,Parma,Serie A,Chelsea,2003-2004,19.0
Cristian Chivu,AFC Ajax,Eredivisie,AS Roma,2003-2004,18.0
Louis Saha,Fulham,Premier League,Man Utd,2003-2004,17.5
Geovanni,FC Barcelona,LaLiga,Benfica,2003-2004,15.0
Evanilson,Parma,Serie A,Bor. Dortmund,2003-2004,15.0
Scott Parker,Charlton,Premier League,Chelsea,2003-2004,14.0
Andy van der Meyde,AFC Ajax,Eredivisie,Inter,2003-2004,12.0
Wayne Bridge,Southampton,Premier League,Chelsea,2003-2004,10.5
Harry Kewell,Leeds,Premier League,Liverpool,2003-2004,10.0
Juan Riquelme,FC Barcelona,LaLiga,Villarreal CF,2003-2004,10.0
Njitap Geremi,Real Madrid,LaLiga,Chelsea,2003-2004,10.0
Julio Cruz,Bologna,Serie A,Inter,2003-2004,9.5
José Mari,AC Milan,Serie A,Villarreal CF,2003-2004,9.0
David Dunn,Blackburn,Premier League,Birmingham,2003-2004,8.25
Stephen Appiah,Brescia,Serie A,Juventus,2003-2004,8.0
Nicola Legrottaglie,Chievo Verona,Serie A,Juventus,2003-2004,7.0
Luca Toni,Brescia,Serie A,US Palermo,2003-2004,6.0
Mido,AFC Ajax,Eredivisie,Marseille,2003-2004,6.0
Steve Finnan,Fulham,Premier League,Liverpool,2003-2004,5.25
Olivier Dacourt,Leeds,Premier League,AS Roma,2003-2004,5.25
Albert Riera,RCD Mallorca,LaLiga,G. Bordeaux,2003-2004,5.0
Ariel Ibagaza,RCD Mallorca,LaLiga,Atlético Madrid,2003-2004,5.0
Amauri,FC Empoli,Serie A,Chievo Verona,2003-2004,4.5
Dejan Stankovic,Lazio,Serie A,Inter,2003-2004,4.0
Bonaventure Kalou,Feyenoord,Eredivisie,AJ Auxerre,2003-2004,4.0
Benni McCarthy,Celta de Vigo,LaLiga,FC Porto,2003-2004,3.5
Collins John,FC Twente,Eredivisie,Fulham,2003-2004,3.5
Jordi Hoogstrate,FC Groningen,Eredivisie,PSV Eindhoven,2003-2004,3.2
Kiki Musampa,Málaga CF,LaLiga,Atlético Madrid,2003-2004,3.0
Brett Emerton,Feyenoord,Eredivisie,Blackburn,2003-2004,3.0
Carl Cort,Newcastle,Premier League,Wolves,2003-2004,3.0
Andrea Gasbarroni,Juventus,Serie A,US Palermo,2003-2004,2.7
Kily González,Valencia CF,LaLiga,Inter,2003-2004,2.5
Dejan Stefanovic,Vitesse,Eredivisie,Portsmouth,2003-2004,2.5
Zisis Vryzas,Perugia,Serie A,Fiorentina,2003-2004,2.5
Maik Taylor,Fulham,Premier League,Birmingham,2003-2004,2.25
Luca Antonini,AC Milan,Serie A,Sampdoria,2003-2004,2.0
Nolberto Solano,Newcastle,Premier League,Aston Villa,2003-2004,2.0
Vratislav Gresko,Parma,Serie A,Blackburn,2003-2004,1.8
Valdo,Real Madrid,LaLiga,CA Osasuna,2003-2004,1.8
Emiliano Moretti,Juventus,Serie A,Parma,2003-2004,1.8
Martin Taylor,Blackburn,Premier League,Birmingham,2003-2004,1.6
Hossam Ghaly,Ahly,Premier League,Feyenoord,2003-2004,1.5
