Name,Team_from,League_from,Team_to,Season,Transfer_fee
Fabrizio Miccoli,Fiorentina,Serie A,Juventus,2004-2005,2.4
Lomana LuaLua,Newcastle,Premier League,Portsmouth,2004-2005,2.25
Fitz Hall,Southampton,Premier League,Crystal Palace,2004-2005,2.25
Sergio Almirón,Udinese Calcio,Serie A,FC Empoli,2004-2005,2.2
Jesper Grönkjaer,Birmingham,Premier League,Atlético Madrid,2004-2005,2.0
Sonny Anderson,Villarreal CF,LaLiga,Al Rayyan,2004-2005,2.0
Chong-gug Song,Feyenoord,Eredivisie,Suwon Bluewings,2004-2005,2.0
Kevin Hofland,PSV Eindhoven,Eredivisie,VfL Wolfsburg,2004-2005,2.0
Erik Edman,Heerenveen,Eredivisie,Spurs,2004-2005,2.0
Davide Carrus,Fiorentina,Serie A,Bari,2004-2005,2.0
Claus Jensen,Charlton,Premier League,Fulham,2004-2005,1.9
Jonathan Greening,Middlesbrough,Premier League,West Brom,2004-2005,1.75
Tobias Linderoth,Everton,Premier League,FC Copenhagen,2004-2005,1.6
Khalid Boulahrouz,RKC Waalwijk,Eredivisie,Hamburger SV,2004-2005,1.5
Jérémie Bréchet,Inter,Serie A,Real Sociedad,2004-2005,1.5
Shaun Wright-Phillips,Man City,Premier League,Chelsea,2005-2006,31.5
Sergio Ramos,Sevilla FC,LaLiga,Real Madrid,2005-2006,27.0
Michael Owen,Real Madrid,LaLiga,Newcastle,2005-2006,25.0
Alberto Gilardino,Parma,Serie A,AC Milan,2005-2006,25.0
Patrick Vieira,Arsenal,Premier League,Juventus,2005-2006,20.0
Júlio Baptista,Sevilla FC,LaLiga,Real Madrid,2005-2006,20.0
Albert Luque,Dep. La Coruña,LaLiga,Newcastle,2005-2006,20.0
Wálter Samuel,Real Madrid,LaLiga,Inter,2005-2006,16.0
Jermaine Jenas,Newcastle,Premier League,Spurs,2005-2006,15.0
Asier del Horno,Athletic Bilbao,LaLiga,Chelsea,2005-2006,12.0
David Pizarro,Udinese Calcio,Serie A,Inter,2005-2006,12.0
David Villa,Real Zaragoza,LaLiga,Valencia CF,2005-2006,12.0
Mohamed Sissoko,Valencia CF,LaLiga,Liverpool,2005-2006,12.0
Tiago,Chelsea,Premier League,Olympique Lyon,2005-2006,10.1
Luca Toni,US Palermo,Serie A,Fiorentina,2005-2006,10.0
Pepe Reina,Villarreal CF,LaLiga,Liverpool,2005-2006,9.8
Yakubu Aiyegbeni,Portsmouth,Premier League,Middlesbrough,2005-2006,9.75
Mateja Kezman,Chelsea,Premier League,Atlético Madrid,2005-2006,9.0
Andy van der Meyde,Inter,Serie A,Everton,2005-2006,9.0
Scott Parker,Chelsea,Premier League,Newcastle,2005-2006,9.0
Klaas-Jan Huntelaar,Heerenveen,Eredivisie,AFC Ajax,2005-2006,9.0
Milan Baros,Liverpool,Premier League,Aston Villa,2005-2006,8.84
Marek Jankulovski,Udinese Calcio,Serie A,AC Milan,2005-2006,8.5
Georgios Samaras,Heerenveen,Eredivisie,Man City,2005-2006,8.5
Stephen Appiah,Juventus,Serie A,Fenerbahce,2005-2006,8.0
Giorgio Chiellini,Fiorentina,Serie A,Juventus,2005-2006,7.7
Jon Dahl Tomasson,AC Milan,Serie A,VfB Stuttgart,2005-2006,7.5
Craig Bellamy,Newcastle,Premier League,Blackburn,2005-2006,7.5
Domenico Morfeo,Inter,Serie A,Parma,2005-2006,7.5
Ji-seong Park,PSV Eindhoven,Eredivisie,Man Utd,2005-2006,7.3
Per Kröldrup,Udinese Calcio,Serie A,Everton,2005-2006,6.8
Frédéric Kanouté,Spurs,Premier League,Sevilla FC,2005-2006,6.5
Jan Kromkamp,AZ Alkmaar,Eredivisie,Villarreal CF,2005-2006,6.0
Antonio Cassano,AS Roma,Serie A,Real Madrid,2005-2006,5.5
Phil Neville,Man Utd,Premier League,Everton,2005-2006,5.3
Simon Davies,Spurs,Premier League,Everton,2005-2006,5.25
Rafael van der Vaart,AFC Ajax,Eredivisie,Hamburger SV,2005-2006,5.1
Emre Belözoglu,Inter,Serie A,Newcastle,2005-2006,5.0
Maxi Rodríguez,Espanyol,LaLiga,Atlético Madrid,2005-2006,5.0
Barreto,Treviso,Serie A,Udinese Calcio,2005-2006,5.0
El-Hadji Diouf,Liverpool,Premier League,Bolton,2005-2006,4.8
Wilfred Bouma,PSV Eindhoven,Eredivisie,Aston Villa,2005-2006,4.7
Mikael Forssell,Chelsea,Premier League,Birmingham,2005-2006,4.5
Mozart,Reggina,Serie A,Spartak Moscow,2005-2006,4.5
Nathan Ellington,Wigan,Premier League,West Brom,2005-2006,4.5
Shunsuke Nakamura,Reggina,Serie A,Celtic,2005-2006,4.2
Emiliano Bonazzoli,Reggina,Serie A,Parma,2005-2006,4.15
Robert Earnshaw,West Brom,Premier League,Norwich,2005-2006,4.13
Per Kröldrup,Everton,Premier League,Fiorentina,2005-2006,4.0
Edwin van der Sar,Fulham,Premier League,Man Utd,2005-2006,4.0
Pablo García,CA Osasuna,LaLiga,Real Madrid,2005-2006,4.0
Andreas Ivanschitz,Rapid Vienna,Bundesliga,RB Salzburg,2005-2006,4.0
Yossi Benayoun,Racing,LaLiga,West Ham,2005-2006,3.75
Darius Vassell,Aston Villa,Premier League,Man City,2005-2006,3.6
Danny Murphy,Charlton,Premier League,Spurs,2005-2006,3.21
Vikash Dhorasoo,AC Milan,Serie A,Paris SG,2005-2006,3.2
Clinton Morrison,Birmingham,Premier League,Crystal Palace,2005-2006,3.0
Jesper Grönkjaer,Atlético Madrid,LaLiga,VfB Stuttgart,2005-2006,3.0
Alou Diarra,Liverpool,Premier League,Lens,2005-2006,3.0
Grzegorz Rasiak,Spurs,Premier League,Southampton,2005-2006,3.0
Andrew O'Brien,Newcastle,Premier League,Portsmouth,2005-2006,3.0
Erik Edman,Spurs,Premier League,Stade Rennais,2005-2006,3.0
Hossam Ghaly,Feyenoord,Eredivisie,Spurs,2005-2006,3.0
Luis García,RCD Mallorca,LaLiga,Espanyol,2005-2006,3.0
Marcus Bent,Everton,Premier League,Charlton,2005-2006,3.0
Amr Zaki,Enppi,Premier League,Loko Moscow,2005-2006,3.0
Mikel Arteta,Real Sociedad,LaLiga,Everton,2005-2006,2.8
Jon Stead,Blackburn,Premier League,Sunderland,2005-2006,2.7
Kléberson,Man Utd,Premier League,Besiktas,2005-2006,2.6
Enzo Maresca,Juventus,Serie A,Sevilla FC,2005-2006,2.5
Shinji Ono,Feyenoord,Eredivisie,Urawa Reds,2005-2006,2.5
Wesley Sonck,AFC Ajax,Eredivisie,Bor. M'gladbach,2005-2006,2.5
Thimothée Atouba,Spurs,Premier League,Hamburger SV,2005-2006,2.5
Luciano Galletti,Real Zaragoza,LaLiga,Atlético Madrid,2005-2006,2.5
Ron Vlaar,AZ Alkmaar,Eredivisie,Feyenoord,2005-2006,2.5
Quincy Owusu-Abeyie,Arsenal,Premier League,Spartak Moscow,2005-2006,2.5
Michael Brown,Spurs,Premier League,Fulham,2005-2006,2.3
Nolberto Solano,Aston Villa,Premier League,Newcastle,2005-2006,2.25
Paul Konchesky,Charlton,Premier League,West Ham,2005-2006,2.25
Darren Carter,Birmingham,Premier League,West Brom,2005-2006,2.25
John Welsh,Liverpool,Premier League,Hull City,2005-2006,2.25
Santiago Solari,Real Madrid,LaLiga,Inter,2005-2006,2.0
Young-pyo Lee,PSV Eindhoven,Eredivisie,Spurs,2005-2006,2.0
Rabiu Afolabi,Austria Vienna,Bundesliga,FC Sochaux,2005-2006,2.0
Miguel Ángel,Málaga CF,LaLiga,Real Betis,2005-2006,2.0
Chun-soo Lee,Real Sociedad,LaLiga,Ulsan,2005-2006,2.0
Javier Arizmendi,Atlético Madrid,LaLiga,Dep. La Coruña,2005-2006,2.0
Anthony Seric,Lazio,Serie A,Panathinaikos,2005-2006,2.0
Andriy Shevchenko,AC Milan,Serie A,Chelsea,2006-2007,43.3
Michael Carrick,Spurs,Premier League,Man Utd,2006-2007,27.2
Joaquín,Real Betis,LaLiga,Valencia CF,2006-2007,25.0
Dirk Kuyt,Feyenoord,Eredivisie,Liverpool,2006-2007,18.0
Obafemi Martins,Inter,Serie A,Newcastle,2006-2007,16.0
Damien Duff,Chelsea,Premier League,Newcastle,2006-2007,15.5
Ruud van Nistelrooy,Man Utd,Premier League,Real Madrid,2006-2007,15.0
Ricardo Oliveira,Real Betis,LaLiga,AC Milan,2006-2007,15.0
Ashley Young,Watford,Premier League,Aston Villa,2006-2007,13.2
David Pizarro,Inter,Serie A,AS Roma,2006-2007,13.0
Eidur Gudjohnsen,Chelsea,Premier League,FC Barcelona,2006-2007,12.0
Pablo Aimar,Valencia CF,LaLiga,Real Zaragoza,2006-2007,11.0
Cani,Real Zaragoza,LaLiga,Villarreal CF,2006-2007,11.0
Francesco Tavano,FC Empoli,Serie A,Valencia CF,2006-2007,10.0
Pascal Chimbonda,Wigan,Premier League,Spurs,2006-2007,10.0
Craig Bellamy,Blackburn,Premier League,Liverpool,2006-2007,9.0
Arouna Koné,Roda JC,Eredivisie,PSV Eindhoven,2006-2007,9.0
Robert Huth,Chelsea,Premier League,Middlesbrough,2006-2007,8.9
Amauri,Chievo Verona,Serie A,US Palermo,2006-2007,8.75
Massimo Oddo,Lazio,Serie A,AC Milan,2006-2007,7.75
Ronaldo,Real Madrid,LaLiga,AC Milan,2006-2007,7.5
Asier del Horno,Chelsea,Premier League,Valencia CF,2006-2007,7.5
Ashley Cole,Arsenal,Premier League,Chelsea,2006-2007,7.4
Mateja Kezman,Atlético Madrid,LaLiga,Fenerbahce,2006-2007,7.0
Luís Boa Morte,Fulham,Premier League,West Ham,2006-2007,6.8
Mido,AS Roma,Serie A,Spurs,2006-2007,6.75
Stephen Makinwa,US Palermo,Serie A,Lazio,2006-2007,6.3
Mark van Bommel,FC Barcelona,LaLiga,Bayern Munich ,2006-2007,6.0
Joris Mathijsen,AZ Alkmaar,Eredivisie,Hamburger SV,2006-2007,6.0
Fernando Navarro,FC Barcelona,LaLiga,RCD Mallorca,2006-2007,6.0
Sébastien Frey,Parma,Serie A,Fiorentina,2006-2007,5.75
Fabio Grosso,US Palermo,Serie A,Inter,2006-2007,5.5
Mario Santana,US Palermo,Serie A,Fiorentina,2006-2007,5.5
Fábio Simplício,Parma,Serie A,US Palermo,2006-2007,5.5
Emiliano Bonazzoli,Parma,Serie A,Sampdoria,2006-2007,5.25
Fernando Morientes,Liverpool,Premier League,Valencia CF,2006-2007,5.0
Mousa Dembélé,Willem II,Eredivisie,AZ Alkmaar,2006-2007,5.0
Jan Vennegoor of Hesselink,PSV Eindhoven,Eredivisie,Celtic,2006-2007,4.9
Riki,Getafe CF,LaLiga,Dep. La Coruña,2006-2007,4.64
Franck Queudrue,Middlesbrough,Premier League,Fulham,2006-2007,4.5
Johann Vogel,AC Milan,Serie A,Real Betis,2006-2007,4.5
Denny Landzaat,AZ Alkmaar,Eredivisie,Wigan,2006-2007,4.4
Andy Reid,Spurs,Premier League,Charlton,2006-2007,4.2
Calum Davenport,Spurs,Premier League,West Ham,2006-2007,4.2
Simone Barone,US Palermo,Serie A,Torino,2006-2007,4.1
Jason Roberts,Wigan,Premier League,Blackburn,2006-2007,4.08
Salomon Kalou,Feyenoord,Eredivisie,Chelsea,2006-2007,4.0
Mista,Valencia CF,LaLiga,Atlético Madrid,2006-2007,4.0
Jean-Alain Boumsong,Newcastle,Premier League,Juventus,2006-2007,4.0
Mariano Pernía,Getafe CF,LaLiga,Atlético Madrid,2006-2007,4.0
Álvaro Arbeloa,Dep. La Coruña,LaLiga,Liverpool,2006-2007,3.9
Jimmy Bullard,Wigan,Premier League,Fulham,2006-2007,3.75
Shefki Kuqi,Blackburn,Premier League,Crystal Palace,2006-2007,3.75
Leonardo Pisculichi,RCD Mallorca,LaLiga,Al Arabi,2006-2007,3.6
Jiri Jarosik,Chelsea,Premier League,Celtic,2006-2007,3.5
Stefano Mauri,Udinese Calcio,Serie A,Lazio,2006-2007,3.5
Diego Rivas,Getafe CF,LaLiga,Real Sociedad,2006-2007,3.5
Gijs Luirink,FC Groningen,Eredivisie,AZ Alkmaar,2006-2007,3.5
Daniele Bonera,Parma,Serie A,AC Milan,2006-2007,3.3
Radhi Jaidi,Bolton,Premier League,Birmingham,2006-2007,3.25
David Cotterill,Bristol City,League One,Wigan,2006-2007,3.2
Pasquale Foggia,AC Milan,Serie A,Lazio,2006-2007,3.15
Steed Malbranque,Fulham,Premier League,Spurs,2006-2007,3.0
Jaap Stam,AC Milan,Serie A,AFC Ajax,2006-2007,3.0
Juan Pablo Sorín,Villarreal CF,LaLiga,Hamburger SV,2006-2007,3.0
Jan Kromkamp,Liverpool,Premier League,PSV Eindhoven,2006-2007,3.0
Luis Jiménez,Fiorentina,Serie A,Ternana,2006-2007,3.0
Markus Rosenberg,AFC Ajax,Eredivisie,Werder Bremen,2006-2007,3.0
Bernardo Corradi,Valencia CF,LaLiga,Man City,2006-2007,3.0
Thomas Gravesen,Real Madrid,LaLiga,Celtic,2006-2007,3.0
Erjon Bogdani,Siena,Serie A,Chievo Verona,2006-2007,3.0
Carlton Cole,Chelsea,Premier League,West Ham,2006-2007,3.0
Ivan Pelizzoli,Reggina,Serie A,Loko Moscow,2006-2007,3.0
Cribari,Udinese Calcio,Serie A,Lazio,2006-2007,3.0
José Manuel Jurado,Real Madrid,LaLiga,Atlético Madrid,2006-2007,3.0
Amdy Fayé,Newcastle,Premier League,Charlton,2006-2007,3.0
André Ooijer,PSV Eindhoven,Eredivisie,Blackburn,2006-2007,3.0
Pascal Cygan,Arsenal,Premier League,Villarreal CF,2006-2007,3.0
Christian Maggio,Fiorentina,Serie A,Sampdoria,2006-2007,3.0
Ryan Donk,RKC Waalwijk,Eredivisie,AZ Alkmaar,2006-2007,3.0
Djimi Traoré,Liverpool,Premier League,Charlton,2006-2007,2.8
Kevin Kilbane,Everton,Premier League,Wigan,2006-2007,2.5
Angelos Charisteas,AFC Ajax,Eredivisie,Feyenoord,2006-2007,2.5
Fernando Torres,Atlético Madrid,LaLiga,Liverpool,2007-2008,38.0
Arjen Robben,Chelsea,Premier League,Real Madrid,2007-2008,35.0
Wesley Sneijder,AFC Ajax,Eredivisie,Real Madrid,2007-2008,27.0
Thierry Henry,Arsenal,Premier League,FC Barcelona,2007-2008,24.0
Diego Forlán,Villarreal CF,LaLiga,Atlético Madrid,2007-2008,21.0
Gabriel Milito,Real Zaragoza,LaLiga,FC Barcelona,2007-2008,20.0
Nicolas Anelka,Bolton,Premier League,Chelsea,2007-2008,18.0
Ryan Babel,AFC Ajax,Eredivisie,Liverpool,2007-2008,17.25
Afonso Alves,Heerenveen,Eredivisie,Middlesbrough,2007-2008,17.0
Yakubu Aiyegbeni,Middlesbrough,Premier League,Everton,2007-2008,16.5
Cristian Chivu,AS Roma,Serie A,Inter,2007-2008,16.0
Royston Drenthe,Feyenoord,Eredivisie,Real Madrid,2007-2008,14.0
Nikola Zigic,Racing,LaLiga,Valencia CF,2007-2008,14.0
David Suazo,Cagliari Calcio,Serie A,Inter,2007-2008,13.0
Raúl García,CA Osasuna,LaLiga,Atlético Madrid,2007-2008,13.0
Rolando Bianchi,Reggina,Serie A,Man City,2007-2008,13.0
Nigel Reo-Coker,West Ham,Premier League,Aston Villa,2007-2008,12.5
José Antonio Reyes,Arsenal,Premier League,Atlético Madrid,2007-2008,12.0
Juan Riquelme,Villarreal CF,LaLiga,Boca Juniors,2007-2008,12.0
Gabriel Heinze,Man Utd,Premier League,Real Madrid,2007-2008,12.0
Kieron Dyer,Newcastle,Premier League,West Ham,2007-2008,12.0
Arouna Koné,PSV Eindhoven,Eredivisie,Sevilla FC,2007-2008,12.0
Javier Arizmendi,Dep. La Coruña,LaLiga,Valencia CF,2007-2008,12.0
Vincenzo Iaquinta,Udinese Calcio,Serie A,Juventus,2007-2008,11.3
Craig Bellamy,Liverpool,Premier League,West Ham,2007-2008,11.25
Luca Toni,Fiorentina,Serie A,Bayern Munich ,2007-2008,11.0
Mohamed Sissoko,Liverpool,Premier League,Juventus,2007-2008,11.0
Jonathan Woodgate,Middlesbrough,Premier League,Spurs,2007-2008,10.8
Sulley Muntari,Udinese Calcio,Serie A,Portsmouth,2007-2008,10.51
Jorge Andrade,Dep. La Coruña,LaLiga,Juventus,2007-2008,10.0
Giuseppe Rossi,Man Utd,Premier League,Villarreal CF,2007-2008,10.0
Scott Parker,Newcastle,Premier League,West Ham,2007-2008,9.7
Jonathan Woodgate,Real Madrid,LaLiga,Middlesbrough,2007-2008,9.6
Jermain Defoe,Spurs,Premier League,Portsmouth,2007-2008,9.3
Cicinho,Real Madrid,LaLiga,AS Roma,2007-2008,9.0
Djibril Cissé,Liverpool,Premier League,Marseille,2007-2008,9.0
Sergio Almirón,FC Empoli,Serie A,Juventus,2007-2008,9.0
Alan Smith,Man Utd,Premier League,Newcastle,2007-2008,9.0
Mido,Spurs,Premier League,Middlesbrough,2007-2008,8.8
Fabio Grosso,Inter,Serie A,Olympique Lyon,2007-2008,8.7
José Enrique,Villarreal CF,LaLiga,Newcastle,2007-2008,8.7
Joey Barton,Man City,Premier League,Newcastle,2007-2008,8.6
Kieran Richardson,Man Utd,Premier League,Sunderland,2007-2008,8.2
Valeri Bojinov,Fiorentina,Serie A,Man City,2007-2008,8.0
Aleksandr Kerzhakov,Sevilla FC,LaLiga,Dinamo Moscow,2007-2008,8.0
Boško Jankovic,RCD Mallorca,LaLiga,US Palermo,2007-2008,8.0
Albert Luque,Newcastle,Premier League,AFC Ajax,2007-2008,8.0
Cristiano Lucarelli,AS Livorno,Serie A,Shakhtar D.,2007-2008,7.91
Leighton Baines,Wigan,Premier League,Everton,2007-2008,7.5
Gary O'Neil,Portsmouth,Premier League,Middlesbrough,2007-2008,7.5
James McFadden,Everton,Premier League,Birmingham,2007-2008,7.5
Domenico Criscito,Genoa,Serie A,Juventus,2007-2008,7.5
Luis Suárez,FC Groningen,Eredivisie,AFC Ajax,2007-2008,7.5
Fabio Quagliarella,Sampdoria,Serie A,Udinese Calcio,2007-2008,7.3
Yossi Benayoun,West Ham,Premier League,Liverpool,2007-2008,7.3
Martin Petrov,Atlético Madrid,LaLiga,Man City,2007-2008,7.0
Lassana Diarra,Arsenal,Premier League,Portsmouth,2007-2008,7.0
Andrea Caracciolo,Sampdoria,Serie A,Brescia,2007-2008,7.0
Diego López,Real Madrid,LaLiga,Villarreal CF,2007-2008,7.0
Danny Koevermans,AZ Alkmaar,Eredivisie,PSV Eindhoven,2007-2008,6.9
Alexis,Getafe CF,LaLiga,Valencia CF,2007-2008,6.0
Fabrice Muamba,Arsenal,Premier League,Birmingham,2007-2008,6.0
Francesco Tavano,Valencia CF,LaLiga,AS Livorno,2007-2008,6.0
James Beattie,Everton,Premier League,Sheffield Utd.,2007-2008,6.0
Danko Lazovic,Vitesse,Eredivisie,PSV Eindhoven,2007-2008,6.0
Mark González,Liverpool,Premier League,Real Betis,2007-2008,6.0
Gary Cahill,Aston Villa,Premier League,Bolton,2007-2008,6.0
Steven Davis,Aston Villa,Premier League,Fulham,2007-2008,5.9
David López,CA Osasuna,LaLiga,Athletic Bilbao,2007-2008,5.8
Juliano Belletti,FC Barcelona,LaLiga,Chelsea,2007-2008,5.5
Marlon Harewood,West Ham,Premier League,Aston Villa,2007-2008,5.5
Glen Johnson,Chelsea,Premier League,Portsmouth,2007-2008,5.5
Marco Andreolli,Inter,Serie A,AS Roma,2007-2008,5.5
Grétar Steinsson,AZ Alkmaar,Eredivisie,Bolton,2007-2008,5.25
Benjani,Portsmouth,Premier League,Man City,2007-2008,5.2
Greg Halford,Reading,Premier League,Sunderland,2007-2008,5.2
Émerson,Real Madrid,LaLiga,AC Milan,2007-2008,5.0
Papa Bouba Diop,Fulham,Premier League,Portsmouth,2007-2008,5.0
Giulio Migliaccio,Atalanta,Serie A,US Palermo,2007-2008,5.0
Tom De Mul,AFC Ajax,Eredivisie,Sevilla FC,2007-2008,5.0
Dani Güiza,Getafe CF,LaLiga,RCD Mallorca,2007-2008,5.0
Michele Pazienza,Fiorentina,Serie A,SSC Napoli,2007-2008,4.8
Matthew Taylor,Portsmouth,Premier League,Bolton,2007-2008,4.7
Zat Knight,Fulham,Premier League,Aston Villa,2007-2008,4.7
Freddie Ljungberg,Arsenal,Premier League,West Ham,2007-2008,4.5
Ludovic Giuly,FC Barcelona,LaLiga,AS Roma,2007-2008,4.5
Carlos Diogo,Real Madrid,LaLiga,Real Zaragoza,2007-2008,4.5
Giandomenico Mesto,Reggina,Serie A,Udinese Calcio,2007-2008,4.5
Massimo Donati,AC Milan,Serie A,Celtic,2007-2008,4.5
Andrea Caracciolo,US Palermo,Serie A,Sampdoria,2007-2008,4.5
Reginaldo,Fiorentina,Serie A,Parma,2007-2008,4.5
Manuel da Costa,PSV Eindhoven,Eredivisie,Fiorentina,2007-2008,4.5
Fabrizio Miccoli,Juventus,Serie A,US Palermo,2007-2008,4.3
Tim Howard,Man Utd,Premier League,Everton,2007-2008,4.2
Lomana LuaLua,Portsmouth,Premier League,Olympiacos,2007-2008,4.1
Luis García,Liverpool,Premier League,Atlético Madrid,2007-2008,4.0
Mauro Esposito,Cagliari Calcio,Serie A,AS Roma,2007-2008,4.0
Fitz Hall,Wigan,Premier League,QPR,2007-2008,4.0
Florent Sinama-Pongolle,Liverpool,Premier League,Recr. Huelva,2007-2008,4.0
Gorka Iraizoz,Espanyol,LaLiga,Athletic Bilbao,2007-2008,4.0
Daniele Galloppa,AS Roma,Serie A,Siena,2007-2008,3.95
Robinho,Real Madrid,LaLiga,Man City,2008-2009,43.0
Dimitar Berbatov,Spurs,Premier League,Man Utd,2008-2009,38.0
Dani Alves,Sevilla FC,LaLiga,FC Barcelona,2008-2009,35.5
Klaas-Jan Huntelaar,AFC Ajax,Eredivisie,Real Madrid,2008-2009,27.0
Ronaldinho,FC Barcelona,LaLiga,AC Milan,2008-2009,25.0
Robbie Keane,Spurs,Premier League,Liverpool,2008-2009,24.0
Amauri,US Palermo,Serie A,Juventus,2008-2009,22.8
Javier Mascherano,West Ham,Premier League,Liverpool,2008-2009,22.5
David Bentley,Blackburn,Premier League,Spurs,2008-2009,22.0
Lassana Diarra,Portsmouth,Premier League,Real Madrid,2008-2009,20.0
Aleksandr Hleb,Arsenal,Premier League,FC Barcelona,2008-2009,17.0
Robbie Keane,Liverpool,Premier League,Spurs,2008-2009,16.7
Martín Cáceres,Villarreal CF,LaLiga,FC Barcelona,2008-2009,16.5
Jermain Defoe,Portsmouth,Premier League,Spurs,2008-2009,16.4
Miralem Sulejmani,Heerenveen,Eredivisie,AFC Ajax,2008-2009,16.25
Craig Bellamy,West Ham,Premier League,Man City,2008-2009,15.5
James Milner,Newcastle,Premier League,Aston Villa,2008-2009,15.0
Wilson Palacios,Wigan,Premier League,Spurs,2008-2009,15.0
Alberto Gilardino,AC Milan,Serie A,Fiorentina,2008-2009,14.0
Sulley Muntari,Portsmouth,Premier League,Inter,2008-2009,14.0
Andrea Barzagli,US Palermo,Serie A,VfL Wolfsburg,2008-2009,14.0
Dani Güiza,RCD Mallorca,LaLiga,Fenerbahce,2008-2009,14.0
Seydou Keita,Sevilla FC,LaLiga,FC Barcelona,2008-2009,14.0
Vedran Corluka,Man City,Premier League,Spurs,2008-2009,13.75
Peter Crouch,Liverpool,Premier League,Portsmouth,2008-2009,13.7
Andy Johnson,Everton,Premier League,Fulham,2008-2009,13.3
Mancini,AS Roma,Serie A,Inter,2008-2009,13.0
Fabricio Coloccini,Dep. La Coruña,LaLiga,Newcastle,2008-2009,13.0
Wayne Bridge,Chelsea,Premier League,Man City,2008-2009,13.0
Juan Manuel Vargas,Catania,Serie A,Fiorentina,2008-2009,12.0
Domenico Criscito,Juventus,Serie A,Genoa,2008-2009,11.5
Shaun Wright-Phillips,Chelsea,Premier League,Man City,2008-2009,11.25
Gianluca Zambrotta,FC Barcelona,LaLiga,AC Milan,2008-2009,10.5
Rafael Sóbis,Real Betis,LaLiga,Al-Jazira,2008-2009,10.5
Deco,FC Barcelona,LaLiga,Chelsea,2008-2009,10.0
Jefferson Farfán,PSV Eindhoven,Eredivisie,FC Schalke 04,2008-2009,10.0
Júlio Baptista,Real Madrid,LaLiga,AS Roma,2008-2009,10.0
Ricardo Oliveira,AC Milan,Serie A,Real Zaragoza,2008-2009,10.0
Ezequiel Garay,Racing,LaLiga,Real Madrid,2008-2009,10.0
Johnny Heitinga,AFC Ajax,Eredivisie,Atlético Madrid,2008-2009,10.0
Florent Sinama-Pongolle,Recr. Huelva,LaLiga,Atlético Madrid,2008-2009,10.0
Anton Ferdinand,West Ham,Premier League,Sunderland,2008-2009,10.0
Curtis Davies,West Brom,Premier League,Aston Villa,2008-2009,10.0
Albert Riera,Espanyol,LaLiga,Liverpool,2008-2009,9.8
Christian Poulsen,Sevilla FC,LaLiga,Juventus,2008-2009,9.75
Giampaolo Pazzini,Fiorentina,Serie A,Sampdoria,2008-2009,9.0
Shay Given,Newcastle,Premier League,Man City,2008-2009,9.0
Heurelho Gomes,PSV Eindhoven,Eredivisie,Spurs,2008-2009,9.0
Andrea Dossena,Udinese Calcio,Serie A,Liverpool,2008-2009,9.0
Marco Borriello,Genoa,Serie A,AC Milan,2008-2009,8.75
Pablo Zabaleta,Espanyol,LaLiga,Man City,2008-2009,8.7
Abdoulay Konko,Genoa,Serie A,Sevilla FC,2008-2009,8.5
Christian Maggio,Sampdoria,Serie A,SSC Napoli,2008-2009,8.0
Asamoah Gyan,Udinese Calcio,Serie A,Stade Rennais,2008-2009,8.0
Felipe Melo,UD Almería,LaLiga,Fiorentina,2008-2009,8.0
Cesare Bovo,Genoa,Serie A,US Palermo,2008-2009,7.85
Antonio Nocerino,Juventus,Serie A,US Palermo,2008-2009,7.5
Cristian Zaccardo,US Palermo,Serie A,VfL Wolfsburg,2008-2009,7.0
Rolando Bianchi,Man City,Premier League,Torino,2008-2009,7.0
Rio Mavuba,Villarreal CF,LaLiga,LOSC Lille,2008-2009,7.0
Daniel Osvaldo,Fiorentina,Serie A,Bologna,2008-2009,7.0
Charles N'Zogbia,Newcastle,Premier League,Wigan,2008-2009,6.4
Tal Ben Haim,Chelsea,Premier League,Man City,2008-2009,6.4
Valon Behrami,Lazio,Serie A,West Ham,2008-2009,6.3
Steve Sidwell,Chelsea,Premier League,Aston Villa,2008-2009,6.3
Younès Kaboul,Spurs,Premier League,Portsmouth,2008-2009,6.25
Giovani dos Santos,FC Barcelona,LaLiga,Spurs,2008-2009,6.0
Gaby Mudingayi,Lazio,Serie A,Bologna,2008-2009,6.0
Pelé,Inter,Serie A,FC Porto,2008-2009,6.0
Roberto Soldado,Real Madrid,LaLiga,Getafe CF,2008-2009,6.0
Aritz Aduriz,Athletic Bilbao,LaLiga,RCD Mallorca,2008-2009,6.0
Borja Valero,RCD Mallorca,LaLiga,West Brom,2008-2009,5.9
Jonás Gutiérrez,RCD Mallorca,LaLiga,Newcastle,2008-2009,5.8
Xisco,Dep. La Coruña,LaLiga,Newcastle,2008-2009,5.68
Joseba Llorente,Real Valladolid,LaLiga,Villarreal CF,2008-2009,5.5
George McCartney,West Ham,Premier League,Sunderland,2008-2009,5.5
Orlando Engelaar,FC Twente,Eredivisie,FC Schalke 04,2008-2009,5.5
Leandro Rinaudo,US Palermo,Serie A,SSC Napoli,2008-2009,5.5
Jimmy Bullard,Fulham,Premier League,Hull City,2008-2009,5.3
John Arne Riise,Liverpool,Premier League,AS Roma,2008-2009,5.0
Raffaele Palladino,Juventus,Serie A,Genoa,2008-2009,5.0
Steed Malbranque,Spurs,Premier League,Sunderland,2008-2009,5.0
Gerard Piqué,Man Utd,Premier League,FC Barcelona,2008-2009,5.0
Khalid Boulahrouz,Chelsea,Premier League,VfB Stuttgart,2008-2009,5.0
